sequence,frame,image_path,gt_id_path,pred_path,status,tp,fp,fn,tn,precision,recall,f1,iou,accuracy,gt_pos_ratio
00000,frame000000-1581624652_750,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00000/pylon_camera_node/frame000000-1581624652_750.jpg,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00000/pylon_camera_node_label_id/frame000000-1581624652_750.png,/home/brownassassin/research-project/rellis-output/00000/frame000000-1581624652_750/pred_traversable.png,ok,337037,0,505486,1461477,0.9999999999999971,0.40003299613185583,0.5714622397491681,0.40003299613185583,0.7806050347222219,0.36567838541666653
00000,frame000002-1581624652_949,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00000/pylon_camera_node/frame000002-1581624652_949.jpg,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00000/pylon_camera_node_label_id/frame000002-1581624652_949.png,/home/brownassassin/research-project/rellis-output/00000/frame000002-1581624652_949/pred_traversable.png,ok,334397,0,508827,1460776,0.999999999999997,0.3965695947933166,0.5679195594517382,0.3965695947933166,0.7791549479166664,0.36598263888888877
00000,frame000004-1581624653_150,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00000/pylon_camera_node/frame000004-1581624653_150.jpg,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00000/pylon_camera_node_label_id/frame000004-1581624653_150.png,/home/brownassassin/research-project/rellis-output/00000/frame000004-1581624653_150/pred_traversable.png,ok,338967,0,455576,1509457,0.9999999999999971,0.42661882365082765,0.5980838276899149,0.42661882365082765,0.8022673611111107,0.34485373263888874
00000,frame000006-1581624653_349,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00000/pylon_camera_node/frame000006-1581624653_349.jpg,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00000/pylon_camera_node_label_id/frame000006-1581624653_349.png,/home/brownassassin/research-project/rellis-output/00000/frame000006-1581624653_349/pred_traversable.png,ok,340754,0,499019,1464227,0.9999999999999971,0.40576917809931917,0.5772913279537064,0.40576917809931917,0.7834118923611108,0.36448480902777763
00000,frame000008-1581624653_549,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00000/pylon_camera_node/frame000008-1581624653_549.jpg,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00000/pylon_camera_node_label_id/frame000008-1581624653_549.png,/home/brownassassin/research-project/rellis-output/00000/frame000008-1581624653_549/pred_traversable.png,ok,331872,0,537694,1434434,0.999999999999997,0.3816524565127887,0.5524579707979939,0.3816524565127887,0.7666258680555552,0.37741579861111096
00000,frame000010-1581624653_749,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00000/pylon_camera_node/frame000010-1581624653_749.jpg,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00000/pylon_camera_node_label_id/frame000010-1581624653_749.png,/home/brownassassin/research-project/rellis-output/00000/frame000010-1581624653_749/pred_traversable.png,ok,331756,0,533084,1439160,0.999999999999997,0.3836039036122284,0.5544995967899319,0.3836039036122284,0.7686267361111108,0.37536458333333317
00000,frame000012-1581624653_949,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00000/pylon_camera_node/frame000012-1581624653_949.jpg,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00000/pylon_camera_node_label_id/frame000012-1581624653_949.png,/home/brownassassin/research-project/rellis-output/00000/frame000012-1581624653_949/pred_traversable.png,ok,334251,0,513299,1456450,0.999999999999997,0.39437319332192744,0.565663761936714,0.39437319332192744,0.7772139756944442,0.3678602430555554
00000,frame000014-1581624654_149,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00000/pylon_camera_node/frame000014-1581624654_149.jpg,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00000/pylon_camera_node_label_id/frame000014-1581624654_149.png,/home/brownassassin/research-project/rellis-output/00000/frame000014-1581624654_149/pred_traversable.png,ok,328477,0,455539,1519984,0.999999999999997,0.4189672149547963,0.5905241646797043,0.4189672149547963,0.8022834201388885,0.34028472222222206
00000,frame000016-1581624654_350,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00000/pylon_camera_node/frame000016-1581624654_350.jpg,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00000/pylon_camera_node_label_id/frame000016-1581624654_350.png,/home/brownassassin/research-project/rellis-output/00000/frame000016-1581624654_350/pred_traversable.png,ok,331461,0,506189,1466350,0.999999999999997,0.3957034560974149,0.5670308461087317,0.3957034560974149,0.7802999131944441,0.3635633680555554
00000,frame000018-1581624654_549,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00000/pylon_camera_node/frame000018-1581624654_549.jpg,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00000/pylon_camera_node_label_id/frame000018-1581624654_549.png,/home/brownassassin/research-project/rellis-output/00000/frame000018-1581624654_549/pred_traversable.png,ok,328352,0,534168,1441480,0.999999999999997,0.38068914344015164,0.5514480141647161,0.38068914344015164,0.7681562499999997,0.37435763888888873
